refYear,refMonth,origin,tonnes,share_pct
2020,10,Other,1400074.340335,17.5214134245424
2020,10,Russian Federation,3286975.81841,41.13528872835058
2020,10,Saudi Arabia,1422202.875,17.79834386543028
2020,10,USA,788761.128288,9.871054288899952
2020,10,United Arab Emirates,802449.98531,10.042365280239542
2020,11,India,53717.521,0.8992292938677773
2020,11,Kuwait,39749.609899999996,0.6654069840992217
2020,11,Other,1338226.969481,22.401869453380307
2020,11,Russian Federation,3019725.64731,50.55009447485463
2020,11,Saudi Arabia,910987.219,15.24989199825398
2020,11,USA,151156.82284900002,2.5303595650626356
2020,11,United Arab Emirates,460165.198864,7.703148230481448
2020,12,India,292340.0007,4.28105645561059
2020,12,Kuwait,143105.4818,2.0956511090723065
2020,12,Other,1059214.840426,15.511248955416276
2020,12,Russian Federation,3925327.6081399997,57.48289340143735
2020,12,Saudi Arabia,873230.361,12.787673480340853
2020,12,USA,159372.916903,2.333873069451211
2020,12,United Arab Emirates,376097.077,5.507603528671412
2021,1,India,91720.73298100001,1.282395971202708
2021,1,Kuwait,16991.544,0.23756774353980945
2021,1,Other,1365216.693159,19.087815047100133
2021,1,Russian Federation,4101070.670169,57.3392332803507
2021,1,Saudi Arabia,1028709.0,14.382923405259332
2021,1,USA,245854.60509199998,3.43742297760447
2021,1,United Arab Emirates,302730.9789,4.2326415749428445
2021,2,India,207917.5012,3.102365145983938
2021,2,Kuwait,72179.06509399999,1.0769935889231985
2021,2,Other,1306582.712919,19.495697310280313
2021,2,Russian Federation,3526849.156239,52.624593092496895
2021,2,Saudi Arabia,966333.134,14.418787341269887
2021,2,USA,282101.48005799996,4.2092743242454
2021,2,United Arab Emirates,339939.89925,5.072289196800387
2021,3,India,211804.47672600002,3.0443491360399655
2021,3,Kuwait,55908.355,0.8035927987577435
2021,3,Other,952393.2295479999,13.68912286634803
2021,3,Russian Federation,4263697.617,61.283804560190525
2021,3,Saudi Arabia,572771.073,8.232664144733747
2021,3,USA,207886.80309800003,2.9880388705108882
2021,3,United Arab Emirates,692837.6009249999,9.958427623419098
2021,4,India,524837.90631,7.31092166836414
2021,4,Kuwait,148576.8029,2.0696549442758525
2021,4,Other,1111894.136325,15.488536244148548
2021,4,Russian Federation,3881448.3008270003,54.06805443353437
2021,4,Saudi Arabia,772216.808,10.756876602101906
2021,4,USA,173909.872143,2.422541202353071
2021,4,United Arab Emirates,565936.1652490001,7.883414905222118
2021,5,India,237164.64136699997,3.0089454652445604
2021,5,Kuwait,401497.70135000005,5.093865092283083
2021,5,Other,1731861.1742069998,21.97239772559267
2021,5,Russian Federation,3922351.043824,49.76349053714248
2021,5,Saudi Arabia,786704.8783999999,9.98104971594146
2021,5,USA,184734.95886500002,2.34376175784493
2021,5,United Arab Emirates,617670.972158,7.836489705950819
2021,6,India,607428.061836,8.759401512506408
2021,6,Kuwait,59484.1,0.8577890095086846
2021,6,Other,569947.4947820001,8.218913911801776
2021,6,Russian Federation,3667516.1418999997,52.88732684393834
2021,6,Saudi Arabia,863322.39,12.449519414511949
2021,6,USA,337034.56066799996,4.860198640739262
2021,6,United Arab Emirates,829851.319928,11.966850666993594
2021,7,India,408358.74472099997,5.181553877046633
2021,7,Kuwait,221213.7144,2.806921106313855
2021,7,Other,1459636.5032950004,18.520933567602036
2021,7,Russian Federation,3708734.8423999995,47.05913525790943
2021,7,Saudi Arabia,1086892.55275,13.791286199791418
2021,7,USA,416740.527248,5.28790805290495
2021,7,United Arab Emirates,579432.449663,7.352261938431676
2021,8,India,351103.21443,3.869662689526417
2021,8,Kuwait,205490.103,2.264796652280653
2021,8,Other,1752042.497866,19.31002966026228
2021,8,Russian Federation,3906265.0297200005,43.05266206533968
2021,8,Saudi Arabia,1170628.2473499998,12.902007916475899
2021,8,USA,566167.7596459999,6.239983473440072
2021,8,United Arab Emirates,1121528.454687,12.360857542674996
2021,9,India,296353.069075,4.207596313421537
2021,9,Kuwait,201687.1236,2.863537065341438
2021,9,Other,1327033.2595899997,18.84110823709933
2021,9,Russian Federation,3674425.744509,52.16919218955201
2021,9,Saudi Arabia,582066.8707419999,8.264137189951084
2021,9,USA,149787.780068,2.1266744872151544
2021,9,United Arab Emirates,811932.794,11.527754517419448
2021,10,India,616949.537281,7.86298559867996
2021,10,Kuwait,297256.20389999996,3.788512850961749
2021,10,Other,1773127.351527,22.598403900467126
2021,10,Russian Federation,3573313.52056,45.54167083998388
2021,10,Saudi Arabia,755900.905189,9.633912617431987
2021,10,USA,238397.89054700002,3.038367105984166
2021,10,United Arab Emirates,591304.9692820001,7.536147086491135
2021,11,India,890504.69834,10.317419423575787
2021,11,Kuwait,529844.912,6.138802183460699
2021,11,Other,1473206.7748890002,17.068626614230258
2021,11,Russian Federation,3744694.8529,43.38616908220223
2021,11,Saudi Arabia,1111659.9529839999,12.879732148195085
2021,11,USA,192650.967856,2.232061033965784
2021,11,United Arab Emirates,688517.5886,7.977189514370152
2021,12,India,497709.149178,5.8925960736016
2021,12,Kuwait,556311.717,6.5864174783742655
2021,12,Other,1541420.7350759997,18.24955355206562
2021,12,Russian Federation,3596166.396583,42.576585187395
2021,12,Saudi Arabia,1146086.82465,13.569022659303837
2021,12,USA,325683.77297000005,3.855912484245743
2021,12,United Arab Emirates,782969.0408199999,9.269912565013945
2022,1,India,189459.35463999998,2.625393148899609
2022,1,Kuwait,497715.458,6.8969872509992785
2022,1,Other,998917.4789779999,13.842288814971074
2022,1,Russian Federation,3691224.13924,51.15036195825581
2022,1,Saudi Arabia,934979.88876,12.956287109568624
2022,1,USA,171433.553507,2.375604401925732
2022,1,United Arab Emirates,732688.5409860001,10.153077315379875
2022,2,India,445727.99815999996,6.493720386683978
2022,2,Kuwait,345611.302,5.035140639426853
2022,2,Other,1029466.0279730001,14.998080804533972
2022,2,Russian Federation,3850422.922318,56.09602701923233
2022,2,Saudi Arabia,585025.719,8.523120499244595
2022,2,USA,237448.171698,3.4593340326416895
2022,2,United Arab Emirates,370282.9339400001,5.394576618236584
2022,3,India,735097.904128,9.657624789529553
2022,3,Kuwait,365868.1756,4.806730562735016
2022,3,Other,1371434.9601339998,18.017741846140975
2022,3,Russian Federation,3734095.32048,49.0580796530941
2022,3,Saudi Arabia,745560.0531,9.795075200823536
2022,3,USA,149699.773161,1.9667369912877375
2022,3,United Arab Emirates,509824.50894200004,6.698010956389076
2022,4,India,723737.7212200001,9.539241117480762
2022,4,Kuwait,356427.159,4.697896089743975
2022,4,Other,1734435.980654,22.860771985744453
2022,4,Russian Federation,2697358.6840109997,35.55259607546413
2022,4,Saudi Arabia,971150.76981,12.800274302448006
2022,4,USA,259016.922543,3.4139783034667053
2022,4,United Arab Emirates,844825.564424,11.13524212565198
2022,5,India,463518.40262999997,6.3510896724301835
2022,5,Kuwait,685373.1152,9.390924047480947
2022,5,Other,1488760.191233,20.398865334398973
2022,5,Russian Federation,2484013.5156900003,34.03574161492134
2022,5,Saudi Arabia,1330889.169385,18.23573003977898
2022,5,USA,317572.4498480001,4.3513506584289505
2022,5,United Arab Emirates,528123.165648,7.236298632560612
2022,6,India,281782.20625,3.993061854402058
2022,6,Kuwait,595621.148,8.440391312870428
2022,6,Other,1457880.3471849998,20.659240624519924
2022,6,Russian Federation,2588016.59986,36.67410551215485
2022,6,Saudi Arabia,1037546.811,14.702804156075421
2022,6,USA,266658.945432,3.7787540856817294
2022,6,United Arab Emirates,829289.367051,11.751642454295586
2022,7,India,559427.9937999999,7.073525833335975
2022,7,Kuwait,861814.107,10.896959782061366
2022,7,Other,1134479.6620020003,14.34460070912064
2022,7,Russian Federation,2969242.0033539995,37.54372367654438
2022,7,Saudi Arabia,1350938.37922,17.08155049544055
2022,7,USA,395716.763702,5.0035264265501
2022,7,United Arab Emirates,637138.434587,8.056113076946971
2022,8,India,737117.97536,8.774856917104401
2022,8,Kuwait,597611.681,7.114135278283166
2022,8,Other,2144939.4182489994,25.53395402113196
2022,8,Russian Federation,2769701.120732,32.9712906888444
2022,8,Saudi Arabia,1188539.078,14.148698985048702
2022,8,USA,434380.710222,5.170988508164766
2022,8,United Arab Emirates,528051.83766,6.286075601422627
2022,9,India,514180.88727,6.408200210081338
2022,9,Kuwait,864874.97752,10.77887597507579
2022,9,Other,2032943.7285919997,25.336434611203185
2022,9,Russian Federation,2038992.4482,25.41181937796982
2022,9,Saudi Arabia,1498339.242743,18.673696529441216
2022,9,USA,664697.1526319999,8.284073831978413
2022,9,United Arab Emirates,409767.17512599996,5.106899464250227
2022,10,India,1495718.469767,14.945438401262678
2022,10,Kuwait,533264.60863,5.3284582098492415
2022,10,Other,2557024.447087,25.550163441128532
2022,10,Russian Federation,2445279.30967,24.4335896328459
2022,10,Saudi Arabia,1484331.547,14.83165859828903
2022,10,USA,620087.105575,6.196001337893553
2022,10,United Arab Emirates,872153.964829,8.71469037873107
2022,11,India,333410.22595,4.034002594828704
2022,11,Kuwait,124944.7956,1.5117341653951808
2022,11,Other,2185999.297649001,26.44887934640684
2022,11,Russian Federation,2729651.32398,33.02664305672573
2022,11,Saudi Arabia,1648180.3358600002,19.94169114837518
2022,11,USA,481757.46680200007,5.828888018116204
2022,11,United Arab Emirates,761054.3599960001,9.208161670152164
2022,12,India,984513.38777,10.572082307738517
2022,12,Kuwait,635820.315762,6.827682380626523
2022,12,Other,2740475.2991639995,29.4282747040253
2022,12,Russian Federation,2826513.80516,30.352189176214345
2022,12,Saudi Arabia,1413685.70545,15.180699237766332
2022,12,USA,552515.4821809999,5.933123131162523
2022,12,United Arab Emirates,158864.60604100002,1.705949062466456
2023,1,India,803172.796911,9.51912507798076
2023,1,Kuwait,483591.8744,5.731483382919982
2023,1,Other,1736880.671592,20.585339072737003
2023,1,Russian Federation,2467283.5833380003,29.242002621318274
